trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
85,0,85,0,166.57639530004235,,166.5631517000147,166.57639530004235,167.5762909000041,167.5762909000041,168.9269411000423,up,1,1.340602999960538,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
86,0,86,0,168.9428934000316,,168.93005520000588,168.9428934000316,169.94285750004929,169.94285750004929,170.64467800001148,down,1,0.6969014000496827,None,-2,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
87,0,87,0,170.6591232000501,,170.64781180000864,170.6591232000501,171.6590215000324,171.6590215000324,172.5603469000198,up,1,0.8841941999853589,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
88,0,88,0,172.57551180000883,,172.56390290003037,172.57551180000883,173.57523509999737,173.57523509999737,174.2342912000022,up,1,0.6390665000071749,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
89,0,89,0,174.2420010000351,,174.2364693999989,174.2420010000351,175.2422279000166,175.2422279000166,176.0599891000311,down,0,0.8033266999991611,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
90,0,90,0,176.07497509999666,,176.06180930003757,176.07497509999666,177.07461920002243,177.07461920002243,177.89351429999806,down,1,0.810799999977462,None,-2,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
91,0,91,0,177.90841960004764,,177.89676700002747,177.90841960004764,178.9083408000297,178.9083408000297,179.75937850004993,up,1,0.8390156999812461,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
92,0,92,0,179.77459360001376,,179.76251730002696,179.77459360001376,180.77456440002425,180.77456440002425,181.1602147000376,up,0,0.3826065000030212,None,2,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
93,0,93,0,181.17433140001958,,181.16261410003062,181.17433140001958,182.1745412000455,182.1745412000455,182.9259311000351,up,1,0.7432772000320256,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
94,0,94,0,182.94107980001718,,182.92771380004706,182.94107980001718,183.94082890002755,183.94082890002755,184.54310920002172,up,1,0.5967910999897867,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
95,0,95,0,184.55712870002026,,184.54515740001807,184.55712870002026,185.55765210004756,185.55765210004756,186.05860260000918,up,1,0.48866749997250736,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
96,0,96,0,186.07368830003543,,186.05994420003844,186.07368830003543,187.07400690001668,187.07400690001668,187.80829740001354,down,1,0.7268959999782965,None,4,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
97,0,97,0,187.8234586000326,,187.80968720000237,187.8234586000326,188.82348530000309,188.82348530000309,189.65780280000763,down,0,0.8176024000276811,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
98,0,98,0,189.6733412000467,,189.6593555000145,189.6733412000467,190.67324180004653,190.67324180004653,191.7911357000121,up,1,1.110631099960301,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
99,0,99,0,191.8065281000454,,191.7932966000517,191.8065281000454,192.80610800004797,192.80610800004797,193.6238924000063,up,1,0.8143222000217065,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
